name = extended_platinum_ec
technique = EC
tstamp = 1580482722.0
backend_name = memory
id = 6
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]' and 'selector'
N_header_lines = 9

time/s,	raw potential / [V],	raw current / [mA],	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$],	selector
378.76234769821167,	-0.16442905,	0.002854646783636172,	0.55057095,	0.002854646783636172,	2,	
378.9164478778839,	-0.16762026,	0.002898989513720477,	0.54737974,	0.002898989513720477,	2,	
379.0705478191376,	-0.17054072,	0.002912223276611482,	0.54445928,	0.002912223276611482,	2,	
379.22464776039124,	-0.17374389,	0.00289756243324114,	0.54125611,	0.00289756243324114,	2,	
379.3787477016449,	-0.17679206,	0.002863172808904801,	0.5382079399999999,	0.002863172808904801,	2,	
379.53284788131714,	-0.17974143,	0.002804867710468315,	0.53525857,	0.002804867710468315,	2,	
379.6869478225708,	-0.18276028,	0.002739005010515662,	0.53223972,	0.002739005010515662,	2,	
379.84104776382446,	-0.18601239,	0.002668973206512312,	0.5289876099999999,	0.002668973206512312,	2,	
379.9951477050781,	-0.18901029,	0.002583085130408894,	0.5259897099999999,	0.002583085130408894,	2,	
380.14924788475037,	-0.19199824,	0.002489971639316888,	0.52300176,	0.002489971639316888,	2,	
380.303347826004,	-0.19532466,	0.002400846590961569,	0.5196753399999999,	0.002400846590961569,	2,	
380.4574477672577,	-0.19814098,	0.0022997734533425,	0.51685902,	0.0022997734533425,	2,	
380.61154770851135,	-0.20130643,	0.002201659075212609,	0.5136935699999999,	0.002201659075212609,	2,	
380.7656478881836,	-0.20458104,	0.002102180209370128,	0.51041896,	0.002102180209370128,	2,	
380.91974782943726,	-0.20764861,	0.002014771979243359,	0.50735139,	0.002014771979243359,	2,	
381.0738477706909,	-0.21085256,	0.001916279464975166,	0.50414744,	0.001916279464975166,	2,	
381.2279477119446,	-0.21391077,	0.001815442295907965,	0.5010892299999999,	0.001815442295907965,	2,	
381.3820478916168,	-0.21686494,	0.001732004372418817,	0.49813505999999996,	0.001732004372418817,	2,	
381.5361478328705,	-0.22013263,	0.001643161045552339,	0.49486737,	0.001643161045552339,	2,	
381.69024777412415,	-0.22298539,	0.00154653792597579,	0.49201460999999996,	0.00154653792597579,	2,	
381.8443477153778,	-0.22640936,	0.001466123573991895,	0.48859063999999996,	0.001466123573991895,	2,	
381.99844789505005,	-0.22939733,	0.001391390185167228,	0.48560266999999996,	0.001391390185167228,	2,	
382.1525478363037,	-0.23254667,	0.0013042947842681,	0.48245332999999996,	0.0013042947842681,	2,	
382.3066477775574,	-0.23568842,	0.001225466846151383,	0.47931157999999996,	0.001225466846151383,	2,	
382.46074771881104,	-0.23910488,	0.001149671582656917,	0.47589512,	0.001149671582656917,	2,	
382.6148476600647,	-0.24212153,	0.001087553669186902,	0.47287846999999994,	0.001087553669186902,	2,	
382.76894783973694,	-0.245148,	0.001010425316057325,	0.46985199999999994,	0.001010425316057325,	2,	
382.9230477809906,	-0.24845393,	0.0009497069643740474,	0.46654607,	0.0009497069643740474,	2,	
383.07714772224426,	-0.25166741,	0.0008933900584249255,	0.46333259,	0.0008933900584249255,	2,	
383.2312476634979,	-0.25480336,	0.0008255402641812945,	0.46019664,	0.0008255402641812945,	2,	
383.38534784317017,	-0.25793621,	0.0007676366753599281,	0.45706378999999997,	0.0007676366753599281,	2,	
383.5394477844238,	-0.2609641,	0.0007200617454307078,	0.4540359,	0.0007200617454307078,	2,	
383.6935477256775,	-0.26403055,	0.0006658459474536277,	0.45096945,	0.0006658459474536277,	2,	
383.84764766693115,	-0.2671513,	0.0006125461205273453,	0.4478487,	0.0006125461205273453,	2,	
384.0017478466034,	-0.27031514,	0.0005688792227278028,	0.44468485999999996,	0.0005688792227278028,	2,	
384.15584778785706,	-0.27338094,	0.0005271139669659,	0.44161905999999995,	0.0005271139669659,	2,	
384.3099477291107,	-0.27647334,	0.0004820038071379311,	0.43852665999999996,	0.0004820038071379311,	2,	
384.4640476703644,	-0.27973565,	0.0004306817809809514,	0.43526434999999997,	0.0004306817809809514,	2,	
384.6181478500366,	-0.28272089,	0.0003995944582006244,	0.43227910999999997,	0.0003995944582006244,	2,	
384.7722477912903,	-0.28598538,	0.0003674340052839719,	0.42901461999999996,	0.0003674340052839719,	2,	
384.92634773254395,	-0.28924376,	0.0003262229673085806,	0.42575623999999995,	0.0003262229673085806,	2,	
385.0804476737976,	-0.29231039,	0.0002947775177835569,	0.42268961,	0.0002947775177835569,	2,	
385.23454785346985,	-0.29538181,	0.0002654986383970751,	0.41961818999999995,	0.0002654986383970751,	2,	
385.3886477947235,	-0.29861531,	0.0002320320647625825,	0.41638468999999995,	0.0002320320647625825,	2,	
385.5427477359772,	-0.30148119,	0.0002004288924500387,	0.41351880999999996,	0.0002004288924500387,	2,	
385.69684767723083,	-0.3048926,	0.0001744013874698191,	0.41010739999999996,	0.0001744013874698191,	2,	
385.8509476184845,	-0.307708,	0.000152170690173312,	0.407292,	0.000152170690173312,	2,	
386.00504779815674,	-0.31102791,	0.0001196985102795927,	0.40397208999999995,	0.0001196985102795927,	2,	
386.1591477394104,	-0.31399098,	9.32405790206735e-05,	0.40100902,	9.32405790206735e-05,	2,	
386.31324768066406,	-0.31721303,	7.743294028820938e-05,	0.39778696999999996,	7.743294028820938e-05,	2,	
386.4673476219177,	-0.32008871,	4.829228208797843e-05,	0.39491128999999997,	4.829228208797843e-05,	2,	
386.62144780158997,	-0.3231183,	2.022873700766644e-05,	0.39188169999999994,	2.022873700766644e-05,	2,	
386.7755477428436,	-0.32639539,	6.318287141531705e-06,	0.38860460999999996,	6.318287141531705e-06,	2,	
386.9296476840973,	-0.32924199,	-1.312389069299682e-05,	0.38575801,	-1.312389069299682e-05,	2,	
387.08374762535095,	-0.33275604,	-4.367079458487489e-05,	0.38224396,	-4.367079458487489e-05,	2,	
387.2378478050232,	-0.33552349,	-6.077379851586755e-05,	0.37947651,	-6.077379851586755e-05,	2,	
387.39194774627686,	-0.33838779,	-7.764822952272877e-05,	0.37661220999999995,	-7.764822952272877e-05,	2,	
387.5460476875305,	-0.34132394,	-0.0001004895206886027,	0.37367606,	-0.0001004895206886027,	2,	
387.7001476287842,	-0.3446919,	-0.0001256517004445145,	0.3703081,	-0.0001256517004445145,	2,	
387.8542478084564,	-0.34737235,	-0.0001402396549313703,	0.36762765,	-0.0001402396549313703,	2,	
388.0083477497101,	-0.35045174,	-0.0001613581837705737,	0.36454825999999996,	-0.0001613581837705737,	2,	
388.16244769096375,	-0.35362211,	-0.0001923465114784867,	0.36137789,	-0.0001923465114784867,	2,	
388.3165476322174,	-0.35656038,	-0.0002148957127665621,	0.35843961999999996,	-0.0002148957127665621,	2,	
388.47064781188965,	-0.35969487,	-0.0002292960755961556,	0.35530512999999997,	-0.0002292960755961556,	2,	
388.6247477531433,	-0.3628675,	-0.0002607979957974834,	0.35213249999999996,	-0.0002607979957974834,	2,	
388.778847694397,	-0.36575809,	-0.0002841153747674173,	0.34924191,	-0.0002841153747674173,	2,	
388.93294763565063,	-0.36874425,	-0.0003056929334997512,	0.34625575,	-0.0003056929334997512,	2,	
389.0870475769043,	-0.37180224,	-0.0003390675408464111,	0.34319775999999996,	-0.0003390675408464111,	2,	
389.24114775657654,	-0.37472001,	-0.00036881240965957,	0.34027999,	-0.00036881240965957,	2,	
389.3952476978302,	-0.37783265,	-0.0004005995884583822,	0.33716735,	-0.0004005995884583822,	2,	
389.54934763908386,	-0.38078016,	-0.0004363590377025554,	0.33421984,	-0.0004363590377025554,	2,	
389.7034475803375,	-0.38394779,	-0.0004719695634205091,	0.33105220999999996,	-0.0004719695634205091,	2,	
389.85754776000977,	-0.3869198,	-0.0005117243268852548,	0.3280802,	-0.0005117243268852548,	2,	
390.0116477012634,	-0.38982344,	-0.0005542638132762902,	0.32517655999999995,	-0.0005542638132762902,	2,	
390.1657476425171,	-0.39308411,	-0.0006055013119924436,	0.32191589,	-0.0006055013119924436,	2,	
390.31984758377075,	-0.39601919,	-0.0006719449177033376,	0.31898080999999995,	-0.0006719449177033376,	2,	
390.473947763443,	-0.39917937,	-0.0007138333312838759,	0.31582063,	-0.0007138333312838759,	2,	
390.62804770469666,	-0.40197751,	-0.0007777382314494725,	0.31302249,	-0.0007777382314494725,	2,	
390.7821476459503,	-0.40505564,	-0.0008358061160267591,	0.30994436,	-0.0008358061160267591,	2,	
390.936247587204,	-0.40803754,	-0.0009049246550299379,	0.30696246,	-0.0009049246550299379,	2,	
391.0903477668762,	-0.41097459,	-0.0009886174493775133,	0.30402541,	-0.0009886174493775133,	2,	
391.2444477081299,	-0.41425973,	-0.001056083810956582,	0.30074027,	-0.001056083810956582,	2,	
391.39854764938354,	-0.41731074,	-0.00114734717670243,	0.29768925999999996,	-0.00114734717670243,	2,	
391.5526475906372,	-0.42024133,	-0.001242788196650566,	0.29475866999999994,	-0.001242788196650566,	2,	
391.70674777030945,	-0.42326677,	-0.001325514705379848,	0.29173322999999995,	-0.001325514705379848,	2,	
391.8608477115631,	-0.42648795,	-0.00142068437637941,	0.28851204999999996,	-0.00142068437637941,	2,	
392.0149476528168,	-0.42946517,	-0.001539971919272517,	0.28553482999999996,	-0.001539971919272517,	2,	
392.16904759407043,	-0.43260419,	-0.001629681978739805,	0.28239580999999997,	-0.001629681978739805,	2,	
392.3231475353241,	-0.43545946,	-0.001766975669708442,	0.27954053999999995,	-0.001766975669708442,	2,	
392.47724771499634,	-0.43881154,	-0.001855124617639398,	0.27618845999999997,	-0.001855124617639398,	2,	
392.63134765625,	-0.44172344,	-0.001973409055955444,	0.27327655999999995,	-0.001973409055955444,	2,	
392.78544759750366,	-0.44484407,	-0.002063940058547103,	0.27015593,	-0.002063940058547103,	2,	
392.9395475387573,	-0.44800425,	-0.002171169170007731,	0.26699575,	-0.002171169170007731,	2,	
393.09364771842957,	-0.45125172,	-0.002294565136524245,	0.26374827999999995,	-0.002294565136524245,	2,	
393.2477476596832,	-0.45432824,	-0.00236966570901212,	0.26067176,	-0.00236966570901212,	2,	
393.4018476009369,	-0.4573139,	-0.00245601488177867,	0.2576861,	-0.00245601488177867,	2,	
393.55594754219055,	-0.46054721,	-0.002567897359521558,	0.25445279,	-0.002567897359521558,	2,	
393.7100477218628,	-0.46337396,	-0.002605467136190438,	0.25162604,	-0.002605467136190438,	2,	
393.86414766311646,	-0.46651861,	-0.002666979354010581,	0.24848138999999997,	-0.002666979354010581,	2,	
394.0182476043701,	-0.47002965,	-0.002747828910641771,	0.24497034999999995,	-0.002747828910641771,	2,	
394.1723475456238,	-0.47311297,	-0.002761165809823361,	0.24188702999999995,	-0.002761165809823361,	2,	
394.326447725296,	-0.47612146,	-0.002843247034482037,	0.23887853999999997,	-0.002843247034482037,	2,	
394.4805476665497,	-0.47942021,	-0.002844884772983824,	0.23557978999999996,	-0.002844884772983824,	2,	
394.63464760780334,	-0.48236063,	-0.002859957948740971,	0.23263936999999996,	-0.002859957948740971,	2,	
394.788747549057,	-0.48563376,	-0.002866625538931867,	0.22936623999999994,	-0.002866625538931867,	2,	
394.94284772872925,	-0.48869202,	-0.002897039482441917,	0.22630797999999996,	-0.002897039482441917,	2,	
395.0969476699829,	-0.49189967,	-0.002951810984842707,	0.22310032999999996,	-0.002951810984842707,	2,	
395.2510476112366,	-0.49476898,	-0.002966818696125015,	0.22023101999999994,	-0.002966818696125015,	2,	
395.40514755249023,	-0.49806604,	-0.002988805290749784,	0.21693395999999998,	-0.002988805290749784,	2,	
395.5592477321625,	-0.50119263,	-0.003066618711789646,	0.21380736999999994,	-0.003066618711789646,	2,	
395.71334767341614,	-0.50434887,	-0.003085149090061141,	0.21065113000000002,	-0.003085149090061141,	2,	
395.8674476146698,	-0.50753349,	-0.003142841587293003,	0.20746650999999994,	-0.003142841587293003,	2,	
396.02154755592346,	-0.51079279,	-0.00323673593825388,	0.20420720999999997,	-0.00323673593825388,	2,	
396.1756474971771,	-0.51375788,	-0.003281147236003021,	0.20124211999999997,	-0.003281147236003021,	2,	
396.32974767684937,	-0.51702178,	-0.003403378347765731,	0.19797821999999998,	-0.003403378347765731,	2,	
396.483847618103,	-0.52007651,	-0.00349336761505676,	0.19492348999999998,	-0.00349336761505676,	2,	
396.6379475593567,	-0.52308452,	-0.00354916395362094,	0.19191547999999992,	-0.00354916395362094,	2,	
396.79204750061035,	-0.52636862,	-0.003662451492905699,	0.18863138000000002,	-0.003662451492905699,	2,	
396.9461476802826,	-0.52949834,	-0.003800148088059219,	0.18550166,	-0.003800148088059219,	2,	
397.10024762153625,	-0.53262484,	-0.003918469116220971,	0.18237515999999998,	-0.003918469116220971,	2,	
397.2543475627899,	-0.53570491,	-0.004066993489545596,	0.17929509,	-0.004066993489545596,	2,	
397.4084475040436,	-0.53877604,	-0.004192309284416079,	0.17622395999999996,	-0.004192309284416079,	2,	
397.5625476837158,	-0.54177839,	-0.004377143503825807,	0.17322160999999991,	-0.004377143503825807,	2,	
397.7166476249695,	-0.5451169,	-0.004506724499022216,	0.16988309999999995,	-0.004506724499022216,	2,	
397.87074756622314,	-0.54839605,	-0.004678159371203749,	0.16660394999999995,	-0.004678159371203749,	2,	
398.0248475074768,	-0.55113566,	-0.004902703532885924,	0.16386433999999994,	-0.004902703532885924,	2,	
398.17894768714905,	-0.55429786,	-0.005058142951172434,	0.16070213999999994,	-0.005058142951172434,	2,	
398.3330476284027,	-0.55765879,	-0.005249109964478631,	0.15734121,	-0.005249109964478631,	2,	
398.4871475696564,	-0.56063992,	-0.005445170635449061,	0.15436008,	-0.005445170635449061,	2,	
398.64124751091003,	-0.56366265,	-0.005563469109990688,	0.15133734999999993,	-0.005563469109990688,	2,	
398.7953476905823,	-0.5667327,	-0.005720364360959542,	0.1482673,	-0.005720364360959542,	2,	
398.94944763183594,	-0.56984144,	-0.005930069961406811,	0.14515855999999994,	-0.005930069961406811,	2,	
399.1035475730896,	-0.57267445,	-0.006032302125625479,	0.14232555000000002,	-0.006032302125625479,	2,	
399.25764751434326,	-0.57581359,	-0.00617180697627974,	0.13918640999999998,	-0.00617180697627974,	2,	
399.4117474555969,	-0.57904023,	-0.006268779455267159,	0.13595976999999992,	-0.006268779455267159,	2,	
399.56584763526917,	-0.58185452,	-0.006381678269563901,	0.13314547999999993,	-0.006381678269563901,	2,	
399.7199475765228,	-0.58507037,	-0.006402102456573397,	0.12992963000000002,	-0.006402102456573397,	2,	
399.8740475177765,	-0.58787751,	-0.006472792474757033,	0.12712248999999998,	-0.006472792474757033,	2,	
400.02814745903015,	-0.59104186,	-0.006549223630628251,	0.12395813999999994,	-0.006549223630628251,	2,	
400.1822476387024,	-0.5939365,	-0.006560173158646057,	0.12106349999999999,	-0.006560173158646057,	2,	
400.33634757995605,	-0.59730101,	-0.006494860121617509,	0.11769898999999995,	-0.006494860121617509,	2,	
400.4904475212097,	-0.60013002,	-0.006521567736507979,	0.11486997999999993,	-0.006521567736507979,	2,	
400.6445474624634,	-0.60328591,	-0.006405102697294329,	0.11171408999999999,	-0.006405102697294329,	2,	
400.7986476421356,	-0.60627913,	-0.006364995930901562,	0.10872086999999997,	-0.006364995930901562,	2,	
400.9527475833893,	-0.60915208,	-0.006364624551823843,	0.10584791999999998,	-0.006364624551823843,	2,	
401.10684752464294,	-0.61213255,	-0.006256894176000956,	0.10286744999999997,	-0.006256894176000956,	2,	
401.2609474658966,	-0.61523771,	-0.006208594712718549,	0.09976228999999992,	-0.006208594712718549,	2,	
401.41504764556885,	-0.61836958,	-0.00619411303054096,	0.09663042,	-0.00619411303054096,	2,	
401.5691475868225,	-0.62145919,	-0.006112336012790515,	0.09354080999999992,	-0.006112336012790515,	2,	
401.7232475280762,	-0.62425792,	-0.006083863809083882,	0.09074207999999995,	-0.006083863809083882,	2,	
401.87734746932983,	-0.62724203,	-0.006095600874470794,	0.08775796999999996,	-0.006095600874470794,	2,	
402.0314476490021,	-0.63047272,	-0.006115623810911998,	0.08452727999999998,	-0.006115623810911998,	2,	
402.18554759025574,	-0.63329703,	-0.006145821790492757,	0.08170296999999993,	-0.006145821790492757,	2,	
402.3396475315094,	-0.63644803,	-0.006207939885407077,	0.07855196999999992,	-0.006207939885407077,	2,	
402.49374747276306,	-0.63934004,	-0.00635837142090849,	0.07565995999999997,	-0.00635837142090849,	2,	
402.6478474140167,	-0.64243805,	-0.006468752566299474,	0.07256194999999999,	-0.006468752566299474,	2,	
402.80194759368896,	-0.64556503,	-0.0066817160155416,	0.06943496999999998,	-0.0066817160155416,	2,	
402.9560475349426,	-0.648619,	-0.006985525283125932,	0.06638100000000002,	-0.006985525283125932,	2,	
403.1101474761963,	-0.65138155,	-0.007293615727921074,	0.06361844999999999,	-0.007293615727921074,	2,	
403.26424741744995,	-0.65452963,	-0.007726919457868284,	0.060470369999999996,	-0.007726919457868284,	2,	
403.4183475971222,	-0.65772229,	-0.00829402729679566,	0.057277709999999926,	-0.00829402729679566,	2,	
403.57244753837585,	-0.66070628,	-0.008934081782879882,	0.05429371999999999,	-0.008934081782879882,	2,	
403.7265474796295,	-0.66362762,	-0.009744348806538516,	0.051372379999999995,	-0.009744348806538516,	2,	
403.8806474208832,	-0.66685951,	-0.0108083468671358,	0.04814048999999998,	-0.0108083468671358,	2,	
404.0347476005554,	-0.66972595,	-0.0120397294822271,	0.045274049999999955,	-0.0120397294822271,	2,	
404.1888475418091,	-0.67284966,	-0.01367922030790015,	0.04215033999999995,	-0.01367922030790015,	2,	
404.34294748306274,	-0.6759181,	-0.01550500321783815,	0.0390819,	-0.01550500321783815,	2,	
404.42774748802185,	-0.67777973,	-0.01670247875154018,	0.037220269999999944,	-0.01670247875154018,	2,	
404.42914748191833,	-0.67720747,	-0.01703879795968533,	0.037792529999999935,	-0.01703879795968533,	2,	
404.44454741477966,	-0.6773982,	-0.01610441288600367,	0.03760180000000002,	-0.01610441288600367,	2,	
404.52934741973877,	-0.67589754,	-0.007371269536361261,	0.03910245999999995,	-0.007371269536361261,	2,	
404.683447599411,	-0.67268538,	-0.001468289922886525,	0.04231461999999997,	-0.001468289922886525,	2,	
404.8375475406647,	-0.66961724,	0.0006604046828711505,	0.045382759999999966,	0.0006604046828711505,	2,	
404.99164748191833,	-0.66665494,	0.00176689700780075,	0.04834505999999994,	0.00176689700780075,	2,	
405.145747423172,	-0.6635282,	0.002283586731040912,	0.051471799999999956,	0.002283586731040912,	2,	
405.29984760284424,	-0.6605674,	0.002541928574372429,	0.05443259999999994,	0.002541928574372429,	2,	
405.4539475440979,	-0.65744406,	0.002697442417044866,	0.05755593999999997,	0.002697442417044866,	2,	
405.60804748535156,	-0.65438867,	0.002713976886502854,	0.06061132999999996,	0.002713976886502854,	2,	
405.7621474266052,	-0.65140527,	0.002754963729405204,	0.06359472999999993,	0.002754963729405204,	2,	
405.91624760627747,	-0.64849818,	0.002765272547592929,	0.06650181999999993,	0.002765272547592929,	2,	
406.0703475475311,	-0.645374,	0.002777879982503791,	0.06962599999999997,	0.002777879982503791,	2,	
406.2244474887848,	-0.6422357,	0.002799626577651364,	0.0727643,	0.002799626577651364,	2,	
406.37854743003845,	-0.6393379,	0.002847233545450576,	0.07566209999999995,	0.002847233545450576,	2,	
406.5326473712921,	-0.63613111,	0.002937150185030925,	0.07886888999999997,	0.002937150185030925,	2,	
406.68674755096436,	-0.63318574,	0.00298718257015114,	0.08181425999999992,	0.00298718257015114,	2,	
406.840847492218,	-0.63020033,	0.003075866352313973,	0.08479967,	0.003075866352313973,	2,	
406.9949474334717,	-0.62711197,	0.003222694572844704,	0.08788803,	0.003222694572844704,	2,	
407.14904737472534,	-0.62413496,	0.003287013680362237,	0.09086503999999995,	0.003287013680362237,	2,	
407.3031475543976,	-0.62111151,	0.003415474133656046,	0.09388848999999999,	0.003415474133656046,	2,	
407.45724749565125,	-0.61820954,	0.003597226996283766,	0.09679046000000002,	0.003597226996283766,	2,	
407.6113474369049,	-0.61521804,	0.003669604700825675,	0.09978195999999995,	0.003669604700825675,	2,	
407.76544737815857,	-0.61202449,	0.003821354063713589,	0.10297550999999994,	0.003821354063713589,	2,	
407.9195475578308,	-0.60905808,	0.003988366226620813,	0.10594192000000002,	0.003988366226620813,	2,	
408.0736474990845,	-0.60616785,	0.004072058414589047,	0.10883215000000002,	0.004072058414589047,	2,	
408.22774744033813,	-0.60302258,	0.004197752762276186,	0.11197742,	0.004197752762276186,	2,	
408.3818473815918,	-0.60004318,	0.004338021462814819,	0.11495681999999996,	0.004338021462814819,	2,	
408.53594756126404,	-0.59711516,	0.004457443357653357,	0.11788483999999999,	0.004457443357653357,	2,	
408.6900475025177,	-0.59400749,	0.004616345885232617,	0.12099251,	0.004616345885232617,	2,	
408.84414744377136,	-0.5910095,	0.004610005834415995,	0.1239905,	0.004610005834415995,	2,	
408.998247385025,	-0.58773965,	0.004756464636235078,	0.12726035000000002,	0.004756464636235078,	2,	
409.15234756469727,	-0.58475,	0.004743491219739229,	0.13024999999999998,	0.004743491219739229,	2,	
409.3064475059509,	-0.58180577,	0.004806680659726118,	0.13319422999999997,	0.004806680659726118,	2,	
409.4605474472046,	-0.57877779,	0.004887194491254854,	0.13622221,	0.004887194491254854,	2,	
409.61464738845825,	-0.57574892,	0.004841934614906659,	0.13925107999999997,	0.004841934614906659,	2,	
409.7687473297119,	-0.57234973,	0.004850973061064814,	0.14265026999999997,	0.004850973061064814,	2,	
409.92284750938416,	-0.56951398,	0.004871862578375331,	0.14548602,	0.004871862578375331,	2,	
410.0769474506378,	-0.56638527,	0.004781537506683295,	0.14861472999999992,	0.004781537506683295,	2,	
410.2310473918915,	-0.56362873,	0.004735903201354627,	0.15137126999999995,	0.004735903201354627,	2,	
410.38514733314514,	-0.56050563,	0.004707845819215628,	0.15449437,	0.004707845819215628,	2,	
410.5392475128174,	-0.55730385,	0.004596168322824862,	0.15769614999999992,	0.004596168322824862,	2,	
410.69334745407104,	-0.55415559,	0.004611964892852732,	0.16084440999999994,	0.004611964892852732,	2,	
410.8474473953247,	-0.55109745,	0.004418537222734165,	0.16390254999999998,	0.004418537222734165,	2,	
411.00154733657837,	-0.54805279,	0.004324498320545669,	0.16694721,	0.004324498320545669,	2,	
411.1556475162506,	-0.54494202,	0.004212053606970696,	0.17005797999999994,	0.004212053606970696,	2,	
411.3097474575043,	-0.54193693,	0.00409504247890792,	0.17306306999999999,	0.00409504247890792,	2,	
411.46384739875793,	-0.53855765,	0.004023651173642919,	0.17644234999999997,	0.004023651173642919,	2,	
411.6179473400116,	-0.53551883,	0.00389769871623416,	0.17948116999999997,	0.00389769871623416,	2,	
411.77204751968384,	-0.53221142,	0.003781997985591784,	0.18278857999999998,	0.003781997985591784,	2,	
411.9261474609375,	-0.52925068,	0.003719591881495482,	0.18574932,	0.003719591881495482,	2,	
412.08024740219116,	-0.52606666,	0.003581402299274672,	0.18893333999999995,	0.003581402299274672,	2,	
412.2343473434448,	-0.52295566,	0.003488902205582907,	0.19204433999999992,	0.003488902205582907,	2,	
412.38844752311707,	-0.51960284,	0.003426148616085013,	0.19539715999999996,	0.003426148616085013,	2,	
412.5425474643707,	-0.51681823,	0.003300571684285894,	0.19818176999999992,	0.003300571684285894,	2,	
412.6966474056244,	-0.51344097,	0.003255606621743836,	0.20155902999999997,	0.003255606621743836,	2,	
412.85074734687805,	-0.51046771,	0.003154289426065991,	0.20453228999999995,	0.003154289426065991,	2,	
413.0048472881317,	-0.50739157,	0.003042839223623904,	0.20760842999999995,	0.003042839223623904,	2,	
413.15894746780396,	-0.50412005,	0.002956614296507738,	0.21087994999999993,	0.002956614296507738,	2,	
413.3130474090576,	-0.50090009,	0.002910624280673962,	0.21409990999999995,	0.002910624280673962,	2,	
413.4671473503113,	-0.49787053,	0.002816411831658067,	0.21712947,	0.002816411831658067,	2,	
413.62124729156494,	-0.49464291,	0.002760130131725033,	0.22035708999999998,	0.002760130131725033,	2,	
413.7753474712372,	-0.49153045,	0.002687539975528216,	0.22346954999999996,	0.002687539975528216,	2,	
413.92944741249084,	-0.48832738,	0.002651536590592187,	0.22667262,	0.002651536590592187,	2,	
414.0835473537445,	-0.48523295,	0.002566539639368655,	0.22976704999999997,	0.002566539639368655,	2,	
414.23764729499817,	-0.48223239,	0.00252679175064459,	0.23276760999999996,	0.00252679175064459,	2,	
414.3917474746704,	-0.47904247,	0.002490307490072442,	0.23595752999999997,	0.002490307490072442,	2,	
414.5458474159241,	-0.47597733,	0.002448873268825619,	0.23902267,	0.002448873268825619,	2,	
414.69994735717773,	-0.47276294,	0.002368934009713712,	0.24223705999999995,	0.002368934009713712,	2,	
414.8540472984314,	-0.46960783,	0.00235422536439588,	0.24539216999999997,	0.00235422536439588,	2,	
415.00814747810364,	-0.46645159,	0.002278387570171828,	0.24854840999999994,	0.002278387570171828,	2,	
415.1622474193573,	-0.46340787,	0.002229567417354621,	0.25159212999999997,	0.002229567417354621,	2,	
415.31634736061096,	-0.46038541,	0.002205929219682531,	0.25461459,	0.002205929219682531,	2,	
415.4704473018646,	-0.457156,	0.002140151092887553,	0.25784399999999996,	0.002140151092887553,	2,	
415.62454748153687,	-0.45390686,	0.002086261462267973,	0.26109313999999995,	0.002086261462267973,	2,	
415.7786474227905,	-0.45084897,	0.00205465567798389,	0.26415102999999995,	0.00205465567798389,	2,	
415.9327473640442,	-0.44769025,	0.001983369858688827,	0.26730974999999996,	0.001983369858688827,	2,	
416.08684730529785,	-0.4447614,	0.001933959806169117,	0.2702386,	0.001933959806169117,	2,	
416.2409472465515,	-0.44180426,	0.001876678975637289,	0.27319573999999996,	0.001876678975637289,	2,	
416.39504742622375,	-0.43847242,	0.001844075841502944,	0.27652758,	0.001844075841502944,	2,	
416.5491473674774,	-0.43545419,	0.001793672764159149,	0.27954580999999995,	0.001793672764159149,	2,	
416.7032473087311,	-0.43219402,	0.00171760294189746,	0.28280597999999996,	0.00171760294189746,	2,	
416.85734724998474,	-0.42923361,	0.001669252328270709,	0.28576639,	0.001669252328270709,	2,	
417.011447429657,	-0.42624313,	0.001600031594747996,	0.28875686999999994,	0.001600031594747996,	2,	
417.16554737091064,	-0.42300183,	0.001533361254382634,	0.29199816999999995,	0.001533361254382634,	2,	
417.3196473121643,	-0.42019367,	0.001490478291951635,	0.29480632999999995,	0.001490478291951635,	2,	
417.47374725341797,	-0.41685697,	0.001409670831576362,	0.29814303,	0.001409670831576362,	2,	
417.6278474330902,	-0.41400537,	0.001353493514593671,	0.30099463,	0.001353493514593671,	2,	
417.7819473743439,	-0.41090882,	0.00129118031283508,	0.30409117999999996,	0.00129118031283508,	2,	
417.93604731559753,	-0.4080492,	0.001229022728591853,	0.30695079999999997,	0.001229022728591853,	2,	
418.0901472568512,	-0.40499464,	0.001162583092892522,	0.31000535999999995,	0.001162583092892522,	2,	
418.24424743652344,	-0.40196687,	0.001114709042351189,	0.31303313,	0.001114709042351189,	2,	
418.3983473777771,	-0.39897421,	0.001049170353873648,	0.31602579,	0.001049170353873648,	2,	
418.55244731903076,	-0.39594179,	0.001018813588671916,	0.31905820999999995,	0.001018813588671916,	2,	
418.7065472602844,	-0.39267537,	0.0009486186023482251,	0.32232462999999995,	0.0009486186023482251,	2,	
418.86064743995667,	-0.38999835,	0.000906537136252333,	0.32500165,	0.000906537136252333,	2,	
419.0147473812103,	-0.38667527,	0.000861220485046759,	0.32832472999999995,	0.000861220485046759,	2,	
419.168847322464,	-0.3838079,	0.0008243315294302368,	0.3311921,	0.0008243315294302368,	2,	
419.32294726371765,	-0.38059926,	0.0007898104550483915,	0.33440074,	0.0007898104550483915,	2,	
419.4770472049713,	-0.37775105,	0.0007579731057972255,	0.33724895,	0.0007579731057972255,	2,	
