name = extended_platinum_ec
technique = EC
tstamp = 1580482722.0
backend_name = memory
id = 6
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]' and 'selector'
N_header_lines = 9

time/s,	raw potential / [V],	raw current / [mA],	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$],	selector
35.46835207939148,	1.1480007,	0.050022826,	1.8630007000000002,	0.050022826,	0,	
35.96835207939148,	1.1477908,	0.050017737,	1.8627908,	0.050017737,	0,	
36.46835207939148,	1.1484013,	0.050027914,	1.8634013,	0.050027914,	0,	
36.9683518409729,	1.1484394,	0.050015826,	1.8634393999999999,	0.050015826,	0,	
37.4683518409729,	1.1484966,	0.050020281,	1.8634966,	0.050020281,	0,	
37.9683518409729,	1.1496794,	0.050020281,	1.8646794,	0.050020281,	0,	
38.4683518409729,	1.1503853,	0.0500171,	1.8653852999999998,	0.0500171,	0,	
38.9683518409729,	1.1502136,	0.050006285,	1.8652136000000001,	0.050006285,	0,	
39.4683518409729,	1.1501373,	0.05000883,	1.8651372999999998,	0.05000883,	0,	
39.9683518409729,	1.1499465,	0.050012011,	1.8649464999999998,	0.050012011,	0,	
40.4683518409729,	1.1499655,	0.050013285,	1.8649654999999998,	0.050013285,	0,	
40.9683518409729,	1.1502327,	0.05000056,	1.8652327,	0.05000056,	0,	
41.4683518409729,	1.1500801,	0.0500101,	1.8650801000000001,	0.0500101,	0,	
41.9683518409729,	1.1507287,	0.050003745,	1.8657287,	0.050003745,	0,	
42.4683518409729,	1.1501564,	0.050003745,	1.8651564,	0.050003745,	0,	
42.9683518409729,	1.1501373,	0.050002467,	1.8651372999999998,	0.050002467,	0,	
43.4683518409729,	1.1492978,	0.050004374,	1.8642978000000001,	0.050004374,	0,	
43.9683518409729,	1.1497176,	0.050015192,	1.8647176,	0.050015192,	0,	
44.4683518409729,	1.1496985,	0.050009467,	1.8646984999999998,	0.050009467,	0,	
44.9683518409729,	1.1489736,	0.050014555,	1.8639736,	0.050014555,	0,	
45.4683518409729,	1.1484203,	0.05000883,	1.8634203,	0.05000883,	0,	
45.9683518409729,	1.1495841,	0.0500171,	1.8645841,	0.0500171,	0,	
46.4683518409729,	1.1491834,	0.050017737,	1.8641834,	0.050017737,	0,	
46.9683518409729,	1.1491071,	0.050020918,	1.8641071,	0.050020918,	0,	
47.4683518409729,	1.1499465,	0.050020918,	1.8649464999999998,	0.050020918,	0,	
47.9683518409729,	1.1496603,	0.050015826,	1.8646603000000002,	0.050015826,	0,	
48.4683518409729,	1.1490499,	0.0500101,	1.8640499,	0.0500101,	0,	
48.9683518409729,	1.1494696,	0.0500171,	1.8644696,	0.0500171,	0,	
49.4683518409729,	1.1496603,	0.050015192,	1.8646603000000002,	0.050015192,	0,	
49.9683518409729,	1.1490308,	0.050016467,	1.8640308,	0.050016467,	0,	
50.4683518409729,	1.1492025,	0.05002537,	1.8642024999999998,	0.05002537,	0,	
50.9683518409729,	1.1488591,	0.050022826,	1.8638591,	0.050022826,	0,	
51.4683518409729,	1.1493742,	0.050003745,	1.8643741999999999,	0.050003745,	0,	
51.9683518409729,	1.150061,	0.050012648,	1.8650609999999999,	0.050012648,	0,	
52.4683518409729,	1.1496413,	0.050015192,	1.8646413000000002,	0.050015192,	0,	
52.9683518409729,	1.1502708,	0.050015826,	1.8652707999999998,	0.050015826,	0,	
53.4683518409729,	1.150805,	0.050011374,	1.865805,	0.050011374,	0,	
53.9683518409729,	1.1507478,	0.049999926,	1.8657477999999998,	0.049999926,	0,	
54.4683518409729,	1.1506523,	0.050007559,	1.8656522999999998,	0.050007559,	0,	
54.9683518409729,	1.1499274,	0.050003104,	1.8649274,	0.050003104,	0,	
55.4683518409729,	1.1506714,	0.05000056,	1.8656714,	0.05000056,	0,	
55.9683518409729,	1.1504997,	0.05000883,	1.8654997,	0.05000883,	0,	
56.46835160255432,	1.1514918,	0.050007559,	1.8664918,	0.050007559,	0,	
56.96835160255432,	1.1505378,	0.05000883,	1.8655377999999998,	0.05000883,	0,	
57.46835160255432,	1.1503662,	0.0500101,	1.8653662,	0.0500101,	0,	
57.96835160255432,	1.1500419,	0.050030462,	1.8650419,	0.050030462,	0,	
58.46835160255432,	1.1500801,	0.05000883,	1.8650801000000001,	0.05000883,	0,	
58.96835160255432,	1.1499655,	0.050013285,	1.8649654999999998,	0.050013285,	0,	
59.46835160255432,	1.1496031,	0.050019011,	1.8646031,	0.050019011,	0,	
59.96835160255432,	1.1496031,	0.050015826,	1.8646031,	0.050015826,	0,	
60.46835160255432,	1.1488019,	0.050026007,	1.8638019,	0.050026007,	0,	
60.96835160255432,	1.1494124,	0.050014555,	1.8644124,	0.050014555,	0,	
61.46835160255432,	1.1494505,	0.050021552,	1.8644504999999998,	0.050021552,	0,	
61.96835160255432,	1.1489736,	0.050018374,	1.8639736,	0.050018374,	0,	
62.46835160255432,	1.1492978,	0.050005015,	1.8642978000000001,	0.050005015,	0,	
62.96835160255432,	1.1494696,	0.050003745,	1.8644696,	0.050003745,	0,	
63.46835160255432,	1.1502136,	0.050012011,	1.8652136000000001,	0.050012011,	0,	
63.96835160255432,	1.1496794,	0.050005015,	1.8646794,	0.050005015,	0,	
64.46835160255432,	1.1505951,	0.050011374,	1.8655951000000002,	0.050011374,	0,	
64.96835160255432,	1.1506714,	0.050003104,	1.8656714,	0.050003104,	0,	
65.46835160255432,	1.1517588,	0.050007559,	1.8667588,	0.050007559,	0,	
65.96835160255432,	1.1516634,	0.050005652,	1.8666633999999998,	0.050005652,	0,	
66.46835160255432,	1.1508813,	0.050004374,	1.8658812999999999,	0.050004374,	0,	
66.96835160255432,	1.151072,	0.050010741,	1.866072,	0.050010741,	0,	
