name = extended_platinum_ec
technique = EC
tstamp = 1580480022.0
backend_name = BackendBase(none, address=none)
id = 7
timecol 'time/s' for: '$U_{RHE}$ / [V]' and '<I>/mA' and 'selector'
aliases = {"t": ["time/s"], "raw_potential": ["$U_{RHE}$ / [V]"], "raw_current": ["<I>/mA"], "selector": ["selector"]}
N_header_lines = 10

time/s,	$U_{RHE}$ / [V],	<I>/mA,	selector
184.3871829509735,	0.37659560999999997,	0.0001219794040268501,	1,	
184.54128289222717,	0.37966617999999996,	0.0001221588191118558,	1,	
184.69538283348083,	0.38326289999999996,	0.0001241881302749943,	1,	
184.8494827747345,	0.38609608999999995,	0.0001214430171831596,	1,	
185.00358295440674,	0.38934170999999995,	0.0001195180665782041,	1,	
185.1576828956604,	0.39214449999999995,	0.0001219345078739493,	1,	
185.31178283691406,	0.39562045999999995,	0.0001206260596306689,	1,	
185.46588277816772,	0.39899515999999996,	0.0001187202193657342,	1,	
185.61998295783997,	0.40194979,	0.0001200822173219756,	1,	
185.77408289909363,	0.40504256,	0.0001206414413840507,	1,	
185.9281828403473,	0.40796309,	0.000118150133078115,	1,	
186.08228278160095,	0.41115451,	0.0001187494355238872,	1,	
186.23638272285461,	0.41449114,	0.0001202701846109489,	1,	
186.39048290252686,	0.41761829999999994,	0.0001192560140748831,	1,	
186.54458284378052,	0.42068230999999995,	0.0001175999863359236,	1,	
186.69868278503418,	0.42389248999999996,	0.0001200608851733857,	1,	
186.85278272628784,	0.42695336999999994,	0.0001193759861262088,	1,	
187.00688290596008,	0.43010199,	0.0001177838701390219,	1,	
187.16098284721375,	0.43321364999999995,	0.0001203572694749638,	1,	
187.3150827884674,	0.43653511999999994,	0.0001225923486995944,	1,	
187.46918272972107,	0.43949996999999996,	0.0001195873949328308,	1,	
187.6232829093933,	0.44293006999999995,	0.0001211051407278532,	1,	
187.77738285064697,	0.44571979999999994,	0.0001234000251290378,	1,	
187.93148279190063,	0.44901237,	0.0001234254921541262,	1,	
188.0855827331543,	0.45222309,	0.0001231389863698552,	1,	
188.23968291282654,	0.45538612999999994,	0.0001264522376112354,	1,	
188.3937828540802,	0.45844692,	0.0001274474396890436,	1,	
188.54788279533386,	0.46139000999999996,	0.0001267170743692182,	1,	
188.70198273658752,	0.46465766,	0.000130167353573601,	1,	
188.85608291625977,	0.46765778999999996,	0.0001325679342280503,	1,	
189.01018285751343,	0.47080714999999995,	0.0001325622305112783,	1,	
189.1642827987671,	0.47388528999999996,	0.000135402881167118,	1,	
189.31838274002075,	0.4767667,	0.0001412962819743826,	1,	
189.4724826812744,	0.47977046,	0.000141030375786493,	1,	
189.62658286094666,	0.48321724999999993,	0.0001425241676354949,	1,	
189.78068280220032,	0.48619194,	0.0001471243891048372,	1,	
189.93478274345398,	0.48923741,	0.000150026705859741,	1,	
190.08888268470764,	0.492128,	0.0001515884031384382,	1,	
190.24298286437988,	0.49525507999999996,	0.0001559136924381937,	1,	
190.39708280563354,	0.4981181,	0.0001604052232650269,	1,	
190.5511827468872,	0.5013858499999999,	0.0001616671686699503,	1,	
190.70528268814087,	0.50421418,	0.0001653899535184625,	1,	
190.8593828678131,	0.5072639999999999,	0.0001713156578539566,	1,	
191.01348280906677,	0.5103728,	0.00017408377372659,	1,	
191.16758275032043,	0.51314522,	0.0001764080363966091,	1,	
191.3216826915741,	0.5162812999999999,	0.0001834448593946384,	1,	
191.47578287124634,	0.51909564,	0.0001859633518193887,	1,	
191.6298828125,	0.5223784699999999,	0.0001878810683782635,	1,	
191.78398275375366,	0.5253604599999999,	0.000193735648718784,	1,	
191.93808269500732,	0.5283834,	0.0001990813948996857,	1,	
192.09218287467957,	0.5315746,	0.0002015022627115374,	1,	
192.24628281593323,	0.53434914,	0.0002063228761693422,	1,	
192.4003827571869,	0.53741385,	0.0002124245845488738,	1,	
192.55448269844055,	0.5404293099999999,	0.0002159874304268473,	1,	
192.7085826396942,	0.5436418,	0.0002193606292117322,	1,	
192.86268281936646,	0.54634843,	0.0002260464194483499,	1,	
193.01678276062012,	0.5494237399999999,	0.0002303493451806396,	1,	
193.17088270187378,	0.55259609,	0.0002320188571886595,	1,	
193.32498264312744,	0.5555630899999999,	0.0002387400659219796,	1,	
193.47908282279968,	0.55866247,	0.0002445344021697602,	1,	
193.63318276405334,	0.5613943499999999,	0.0002463617664832133,	1,	
193.787282705307,	0.5645762799999999,	0.0002515897150332279,	1,	
193.94138264656067,	0.56764611,	0.0002582694586164455,	1,	
194.0954828262329,	0.57071688,	0.0002617896203094775,	1,	
194.24958276748657,	0.57378918,	0.0002649254707840915,	1,	
194.40368270874023,	0.5768733699999999,	0.0002715394622839922,	1,	
194.5577826499939,	0.57988381,	0.0002763531142226799,	1,	
194.71188282966614,	0.58289635,	0.0002783949989762164,	1,	
194.8659827709198,	0.5859462099999999,	0.0002852179677646336,	1,	
195.02008271217346,	0.5889225,	0.0002910947978112008,	1,	
195.17418265342712,	0.59204242,	0.0002932767113095678,	1,	
195.32828283309937,	0.5952432599999999,	0.000298630328842231,	1,	
195.48238277435303,	0.59834168,	0.0003055972025368511,	1,	
195.6364827156067,	0.60140399,	0.0003085460433558543,	1,	
195.79058265686035,	0.60471812,	0.0003117254609323042,	1,	
195.9446828365326,	0.6074354399999999,	0.0003190470679032354,	1,	
196.09878277778625,	0.6110128499999999,	0.00032300993353059,	1,	
196.25288271903992,	0.61399149,	0.0003264506517254026,	1,	
196.40698266029358,	0.6170408239999999,	0.0003334342433948968,	1,	
196.56108260154724,	0.620111954,	0.0003410160695605734,	1,	
196.71518278121948,	0.6233275939999999,	0.0003438805041929651,	1,	
196.86928272247314,	0.626451794,	0.0003498413725275963,	1,	
197.0233826637268,	0.6297837829999999,	0.0003599478725406086,	1,	
197.17748260498047,	0.632746067,	0.0003662884205217296,	1,	
197.3315827846527,	0.635948043,	0.0003717961197538993,	1,	
197.48568272590637,	0.6390636679999999,	0.0003835997296046077,	1,	
197.63978266716003,	0.642387558,	0.0003922833466799332,	1,	
197.7938826084137,	0.6455275229999999,	0.000400749873345757,	1,	
197.94798278808594,	0.648811083,	0.0004147556000142234,	1,	
198.1020827293396,	0.651366074,	0.000429470701823764,	1,	
198.25618267059326,	0.654768132,	0.0004430615379890958,	1,	
198.41028261184692,	0.657972995,	0.0004611226592801663,	1,	
198.56438279151917,	0.661202498,	0.0004842110427000753,	1,	
198.71848273277283,	0.664213218,	0.0005081221969937648,	1,	
198.8725826740265,	0.6673522439999999,	0.000538654332838467,	1,	
199.02668261528015,	0.670611352,	0.0005799455873924612,	1,	
199.1807827949524,	0.673723597,	0.0006317513095994067,	1,	
199.33488273620605,	0.6768219059999999,	0.0006987703921428573,	1,	
199.48898267745972,	0.6800383409999999,	0.0008002370802795197,	1,	
199.64308261871338,	0.6829423649999999,	0.00095774578195234,	1,	
199.79718255996704,	0.6860832699999999,	0.001227534422200815,	1,	
199.95128273963928,	0.6894782819999999,	0.001710857178410786,	1,	
200.10538268089294,	0.692254113,	0.002413960741038154,	1,	
200.2594826221466,	0.695719568,	0.003207647190330162,	1,	
200.41358256340027,	0.69850008,	0.004004080022644518,	1,	
200.5676827430725,	0.701868649,	0.00482863895194368,	1,	
200.72178268432617,	0.7049162529999999,	0.0055181460498097,	1,	
200.87588262557983,	0.7081650440999999,	0.005943697026686401,	1,	
201.0299825668335,	0.7107511481,	0.006289005743497438,	1,	
201.18408274650574,	0.71400465587,	0.006888350050065644,	1,	
201.3381826877594,	0.7168616387,	0.00788730443292146,	1,	
201.49228262901306,	0.7202544171999999,	0.008138251829667986,	1,	
201.64638257026672,	0.7230360919,	0.007757955288987484,	1,	
201.80048274993896,	0.7260950869999999,	0.007452583545261196,	1,	
201.95458269119263,	0.728846892,	0.006738030439592861,	1,	
202.1086826324463,	0.732185876,	0.005773519093590501,	1,	
202.26278257369995,	0.7352001819999999,	0.004948630180819008,	1,	
202.4168827533722,	0.738375224,	0.004806717826674377,	1,	
202.57098269462585,	0.7411427309999999,	0.006423910257233129,	1,	
202.72508263587952,	0.7441862189999999,	0.01105441675150068,	1,	
202.87918257713318,	0.747071963,	0.01597400064383114,	1,	
203.03328251838684,	0.7504296189999999,	0.01828981783431863,	1,	
203.18738269805908,	0.75348885,	0.02221775086130376,	1,	
203.34148263931274,	0.7563677919999999,	0.0247268376938287,	1,	
203.4955825805664,	0.759372987,	0.02345114973213147,	1,	
203.64968252182007,	0.762471296,	0.02287854045741049,	1,	
203.8037827014923,	0.765565325,	0.01666987951956728,	1,	
203.95788264274597,	0.7685260509999999,	0.01464314655767025,	1,	
204.11208271980286,	0.771533825,	0.0141832451497548,	1,	
204.2660825252533,	0.774337042,	0.01811976840942664,	1,	
204.42028260231018,	0.777761329,	0.01616297823759499,	1,	
204.5742826461792,	0.780649331,	0.009906207496495678,	1,	
204.72848272323608,	0.783646513,	0.009399815648963722,	1,	
204.88248252868652,	0.786534522,	0.01120860523467203,	1,	
205.0366826057434,	0.789632369,	0.01151347257783695,	1,	
205.19068264961243,	0.792652864,	0.0105037165347741,	1,	
205.34488248825073,	0.795851391,	0.0118802857564857,	1,	
205.49888253211975,	0.798426766,	0.01532736252969824,	1,	
205.65308260917664,	0.801808644,	0.01868607897399821,	1,	
205.80708265304565,	0.804895912,	0.01987989696718856,	1,	
205.96128249168396,	0.8079587859999999,	0.01629252136681109,	1,	
206.11528253555298,	0.8108616359999999,	0.01215194381882112,	1,	
206.26948261260986,	0.813918155,	0.01057013752522495,	1,	
206.42348265647888,	0.81692382,	0.01099350980902072,	1,	
206.5776824951172,	0.8200089399999999,	0.01372425162764432,	1,	
206.7316825389862,	0.8231269299999999,	0.01875543119104067,	1,	
206.8858826160431,	0.82604145,	0.02380864707702236,	1,	
207.0398826599121,	0.82913293,	0.02363271853878482,	1,	
207.19408249855042,	0.83242049,	0.01890809410887673,	1,	
207.34808254241943,	0.83539223,	0.02055335920776658,	1,	
207.50228261947632,	0.8382876699999999,	0.02916847314691615,	1,	
207.65628266334534,	0.84162822,	0.02909599914627176,	1,	
207.81048250198364,	0.84462645,	0.01980150135908544,	1,	
207.96448254585266,	0.8479013,	0.01346152003811962,	1,	
208.11868262290955,	0.85110831,	0.009509423371660025,	1,	
208.27268266677856,	0.8542888399999999,	0.008129472576927033,	1,	
208.42688250541687,	0.85710795,	0.006805373787195527,	1,	
208.5808825492859,	0.86040292,	0.005816258849998757,	1,	
208.73508262634277,	0.86342553,	0.005258280793129744,	1,	
208.8890826702118,	0.86672583,	0.004830083741018926,	1,	
209.0432825088501,	0.86959158,	0.004491026448582618,	1,	
209.19728255271912,	0.87273712,	0.004224811790436218,	1,	
209.351482629776,	0.87602894,	0.003902583988869487,	1,	
209.50548267364502,	0.87937159,	0.003667770021487216,	1,	
209.65968251228333,	0.88226278,	0.00361392528897507,	1,	
209.81368255615234,	0.88545814,	0.003618080549105826,	1,	
209.96788263320923,	0.88850724,	0.003589951568624072,	1,	
210.12188243865967,	0.89182765,	0.003595144177410484,	1,	
210.27608251571655,	0.89493611,	0.003608406143662556,	1,	
210.43008255958557,	0.89786651,	0.003602581176040121,	1,	
210.58428263664246,	0.9011996499999999,	0.003615460437343981,	1,	
210.7382824420929,	0.90419471,	0.003640848358049523,	1,	
210.89248251914978,	0.90747061,	0.003642369314823406,	1,	
211.04658246040344,	0.91061623,	0.003677250598819361,	1,	
211.20068264007568,	0.91370977,	0.003680280708910466,	1,	
211.35478258132935,	0.91667615,	0.00370899817587364,	1,	
211.508882522583,	0.9200358399999999,	0.003697734874371458,	1,	
211.66298246383667,	0.9233662199999999,	0.003728496095439349,	1,	
211.8170826435089,	0.92633648,	0.003751400664596893,	1,	
211.97118258476257,	0.9292301199999999,	0.003766518896830148,	1,	
212.12528252601624,	0.93232551,	0.003777029270697285,	1,	
212.2793824672699,	0.9355452,	0.00380756757066332,	1,	
212.43348240852356,	0.93867173,	0.0038081233699198,	1,	
212.5875825881958,	0.9416958099999999,	0.003817677097495933,	1,	
212.74168252944946,	0.94489286,	0.003845147741532939,	1,	
212.89578247070312,	0.94822374,	0.003853620793697013,	1,	
213.0498824119568,	0.9512687599999999,	0.003883993375556241,	1,	
213.20398259162903,	0.95428943,	0.003895252223290015,	1,	
213.3580825328827,	0.95713804,	0.003905443618873211,	1,	
213.51218247413635,	0.96030181,	0.003911509123848075,	1,	
213.66628241539001,	0.96372695,	0.003910969605939521,	1,	
213.82038259506226,	0.96652892,	0.003957199038771932,	1,	
213.97448253631592,	0.96977213,	0.003956262685730669,	1,	
214.12858247756958,	0.97261321,	0.003973745352468576,	1,	
214.28268241882324,	0.9759254399999999,	0.004006012821294082,	1,	
214.43678259849548,	0.97878495,	0.004010374992414772,	1,	
214.59088253974915,	0.9817480999999999,	0.004020532616759064,	1,	
214.7449824810028,	0.98466366,	0.004058691143271703,	1,	
214.89908242225647,	0.98759094,	0.004069865061703246,	1,	
215.0531826019287,	0.99063947,	0.004105323378312778,	1,	
215.20728254318237,	0.99390214,	0.004122924173006429,	1,	
215.36138248443604,	0.99679875,	0.00414359075684595,	1,	
215.5154824256897,	0.99990916,	0.004157257554681923,	1,	
215.66958236694336,	1.0028167,	0.004186821473193741,	1,	
215.8236825466156,	1.00598091,	0.004209829504253807,	1,	
215.97778248786926,	1.00907606,	0.004237954879844442,	1,	
216.13188242912292,	1.01210138,	0.004255529378722006,	1,	
216.2859823703766,	1.01509952,	0.004292674791442293,	1,	
216.44008255004883,	1.01782968,	0.004315000686745479,	1,	
216.5941824913025,	1.0212433,	0.004336794654258666,	1,	
216.74828243255615,	1.02394908,	0.004375047214286026,	1,	
216.90238237380981,	1.02703237,	0.004412217915859877,	1,	
217.05648255348206,	1.0301119399999998,	0.00442482809881093,	1,	
217.21058249473572,	1.0332484499999999,	0.004459219495096835,	1,	
217.36468243598938,	1.03621548,	0.004489586522400404,	1,	
217.51878237724304,	1.03932625,	0.004502978290235875,	1,	
217.67288255691528,	1.04204765,	0.004530154348514795,	1,	
217.82698249816895,	1.04532405,	0.00455548127746587,	1,	
217.9810824394226,	1.0482974,	0.004579907808521834,	1,	
218.13518238067627,	1.05128607,	0.004603969377653111,	1,	
218.2892825603485,	1.05423239,	0.004626394816769047,	1,	
218.44338250160217,	1.05750405,	0.004636921901336721,	1,	
218.59748244285583,	1.06054046,	0.00466676006341683,	1,	
218.7515823841095,	1.06343951,	0.004696594721587455,	1,	
218.90568232536316,	1.0665146399999998,	0.00472699086327856,	1,	
219.0597825050354,	1.06969618,	0.004739396425263318,	1,	
219.21388244628906,	1.07295096,	0.004764398097994857,	1,	
219.36798238754272,	1.07588783,	0.004787850385524303,	1,	
219.5220823287964,	1.07878738,	0.004803555933626448,	1,	
219.67618250846863,	1.08184328,	0.004831001095852251,	1,	
219.8302824497223,	1.08523851,	0.004844469640050308,	1,	
219.98438239097595,	1.08842569,	0.004867213917685145,	1,	
220.13848233222961,	1.09152963,	0.004887972807385343,	1,	
220.29258251190186,	1.09451845,	0.004905275965035639,	1,	
220.44668245315552,	1.0976182799999998,	0.004921111217527488,	1,	
220.60078239440918,	1.10095986,	0.00494448456232735,	1,	
220.75488233566284,	1.1041044,	0.004954182126179891,	1,	
220.90898251533508,	1.10698121,	0.004996332677336832,	1,	
221.06308245658875,	1.11020261,	0.004996278285635286,	1,	
221.2171823978424,	1.11318463,	0.005013225740262514,	1,	
221.37128233909607,	1.1163516599999999,	0.005013847348791831,	1,	
221.5253825187683,	1.1198599,	0.005028802895542911,	1,	
221.67948246002197,	1.12284621,	0.005045140454284197,	1,	
221.83358240127563,	1.12579825,	0.00505306444836387,	1,	
221.9876823425293,	1.12907055,	0.005062580901514346,	1,	
222.14178228378296,	1.1322363599999998,	0.005075720907691317,	1,	
222.2958824634552,	1.13524082,	0.005072705765849908,	1,	
222.44998240470886,	1.13832619,	0.005080506465082457,	1,	
222.60408234596252,	1.14163795,	0.005089904615520471,	1,	
222.7581822872162,	1.14455208,	0.005083883921083887,	1,	
222.91228246688843,	1.14786544,	0.00510943129051037,	1,	
223.0663824081421,	1.1507758799999999,	0.005107585982859764,	1,	
223.22048234939575,	1.153988,	0.005096888720572394,	1,	
223.3745822906494,	1.15725246,	0.005096116844956242,	1,	
223.52868247032166,	1.16037449,	0.005096992975235942,	1,	
223.68278241157532,	1.1635391099999999,	0.005101891205060414,	1,	
223.83688235282898,	1.16661465,	0.005093062149303412,	1,	
223.99098229408264,	1.1697881799999998,	0.005096435900173328,	1,	
224.14508247375488,	1.17295774,	0.005094545984154895,	1,	
224.29918241500854,	1.17591661,	0.005088121746110126,	1,	
224.4532823562622,	1.17915764,	0.005086833727916726,	1,	
224.60738229751587,	1.18236526,	0.005092681480667091,	1,	
224.7614824771881,	1.18534702,	0.005078535159768027,	1,	
224.91558241844177,	1.18866196,	0.005093951158866183,	1,	
225.06968235969543,	1.19141024,	0.005087586286359719,	1,	
225.2237823009491,	1.19479325,	0.005087070526831841,	1,	
225.37788248062134,	1.19781157,	0.005073173777585524,	1,	
225.51648235321045,	1.2004642699999999,	0.005069390553179037,	1,	
225.58518242835999,	1.20195239,	0.004569910932332277,	1,	
225.66988229751587,	1.20008909,	0.003415112435297418,	1,	
225.8238823413849,	1.19696793,	0.002704039259708788,	1,	
225.97808241844177,	1.19415095,	0.002199229585204628,	1,	
226.1320824623108,	1.1907182,	0.001814047423876884,	1,	
226.2862823009491,	1.1875037499999999,	0.001497371802261808,	1,	
226.44038224220276,	1.1845700099999998,	0.001259284625778321,	1,	
226.594482421875,	1.18139708,	0.001050633291255765,	1,	
226.74858236312866,	1.1780993899999999,	0.0008833602421923839,	1,	
226.90268230438232,	1.17488661,	0.0007328449704312144,	1,	
227.056782245636,	1.17177993,	0.0006056442424995229,	1,	
227.21088242530823,	1.16880428,	0.0004965552935201798,	1,	
227.3649823665619,	1.16586235,	0.0003953630222551736,	1,	
227.51908230781555,	1.16248354,	0.0003065381369470759,	1,	
227.6731822490692,	1.15924754,	0.0002395888513514947,	1,	
227.82728242874146,	1.15611928,	0.000164072379909086,	1,	
227.98138236999512,	1.15314176,	0.0001032550921487141,	1,	
228.13548231124878,	1.14995432,	4.508969908923301e-05,	1,	
228.28958225250244,	1.14673945,	-1.927316596229159e-05,	1,	
228.44368243217468,	1.1437553999999999,	-6.213143199942632e-05,	1,	
228.59778237342834,	1.14043364,	-0.0001069034905609574,	1,	
228.751882314682,	1.13744735,	-0.0001458718498107477,	1,	
228.90598225593567,	1.13424658,	-0.0001895010054440023,	1,	
229.0600824356079,	1.13106197,	-0.0002288875128334478,	1,	
229.21418237686157,	1.12801727,	-0.0002596613255285971,	1,	
229.36828231811523,	1.12489062,	-0.000300436598461121,	1,	
229.5223822593689,	1.1215740699999999,	-0.0003337952766826633,	1,	
229.67648220062256,	1.1184755499999999,	-0.0003615845987448951,	1,	
229.8305823802948,	1.11549452,	-0.0003928953270484785,	1,	
229.98468232154846,	1.11223954,	-0.0004314810474871844,	1,	
230.13878226280212,	1.10918247,	-0.0004502747120550734,	1,	
230.2928822040558,	1.10598662,	-0.0004997512677991159,	1,	
230.44698238372803,	1.10290599,	-0.0005160463877478417,	1,	
230.6010823249817,	1.09967222,	-0.0005433914328421309,	1,	
230.75518226623535,	1.09667012,	-0.0005688958235549775,	1,	
230.909282207489,	1.0934012499999999,	-0.0006029683269219325,	1,	
231.06338238716125,	1.09050527,	-0.0006327037743122424,	1,	
231.21748232841492,	1.08747154,	-0.0006560030065532246,	1,	
231.37158226966858,	1.08411377,	-0.0006884147083992577,	1,	
231.52568221092224,	1.0810914,	-0.0007197009064249891,	1,	
231.67978239059448,	1.078253,	-0.0007405857404076217,	1,	
231.83388233184814,	1.0752115199999999,	-0.0007745248404863892,	1,	
231.9879822731018,	1.07200068,	-0.000808976732569142,	1,	
232.14208221435547,	1.06900948,	-0.0008305128106526061,	1,	
232.2961823940277,	1.0660219199999998,	-0.0008750050564297375,	1,	
232.45028233528137,	1.06282332,	-0.000906657383901879,	1,	
232.60438227653503,	1.05998429,	-0.0009254517112966508,	1,	
232.7584822177887,	1.05696252,	-0.0009581639053383526,	1,	
232.91258215904236,	1.053884,	-0.0009944790121555018,	1,	
233.0666823387146,	1.05095017,	-0.001028837974407468,	1,	
233.22078227996826,	1.04773557,	-0.001058372779721138,	1,	
233.37488222122192,	1.04453081,	-0.001096399986839056,	1,	
233.5289821624756,	1.04186749,	-0.001135748260259459,	1,	
233.68308234214783,	1.03883004,	-0.001160934618508195,	1,	
233.8371822834015,	1.03563776,	-0.001202715625885847,	1,	
233.99128222465515,	1.0326237,	-0.001249111821099602,	1,	
234.1453821659088,	1.02946308,	-0.001273646259697595,	1,	
234.29948234558105,	1.0263814,	-0.001323332231454404,	1,	
234.45358228683472,	1.0236627999999999,	-0.001367568377090738,	1,	
234.60768222808838,	1.02055239,	-0.001400656838386846,	1,	
234.76178216934204,	1.01755255,	-0.001437451193901505,	1,	
234.91588234901428,	1.01445523,	-0.001497104097578077,	1,	
235.06998229026794,	1.01158255,	-0.001530745655227551,	1,	
235.2240822315216,	1.008286,	-0.001578716370051445,	1,	
235.37818217277527,	1.0054149,	-0.001628159945348266,	1,	
235.5322823524475,	1.00232136,	-0.001680643159104963,	1,	
235.68638229370117,	0.99949109,	-0.001720289397503412,	1,	
235.84048223495483,	0.99634713,	-0.00177705894398465,	1,	
235.9945821762085,	0.9934574899999999,	-0.001836143659433077,	1,	
236.14868211746216,	0.9903104,	-0.001891191139064205,	1,	
236.3027822971344,	0.987367,	-0.001941717932265493,	1,	
236.45688223838806,	0.98418674,	-0.002012022245334755,	1,	
236.61098217964172,	0.98105543,	-0.002055998804244535,	1,	
236.76508212089539,	0.97820511,	-0.00211764385812928,	1,	
236.91918230056763,	0.97487834,	-0.002187764470908519,	1,	
237.0732822418213,	0.97194266,	-0.002246330211442112,	1,	
237.22738218307495,	0.9689119399999999,	-0.002308763732179468,	1,	
237.3814821243286,	0.96582433,	-0.002387685865771802,	1,	
237.53558230400085,	0.96281273,	-0.002450930224487516,	1,	
237.68968224525452,	0.95969538,	-0.002516308569142391,	1,	
237.84378218650818,	0.95648256,	-0.002592963488663939,	1,	
237.99788212776184,	0.95335236,	-0.002674344889581088,	1,	
238.15198230743408,	0.95038826,	-0.002754305396320177,	1,	
238.30608224868774,	0.94716406,	-0.00283316309667294,	1,	
238.4601821899414,	0.94415202,	-0.002924198555139455,	1,	
238.61428213119507,	0.94084116,	-0.002997095537540032,	1,	
238.7683823108673,	0.93780705,	-0.003080047173362311,	1,	
238.92248225212097,	0.93466666,	-0.00318110205774353,	1,	
239.07658219337463,	0.93171872,	-0.00326131839959266,	1,	
239.2306821346283,	0.92836073,	-0.003350678384509535,	1,	
239.38478207588196,	0.92514462,	-0.003453811759053058,	1,	
239.5388822555542,	0.92231233,	-0.00354689048558772,	1,	
239.69298219680786,	0.91905036,	-0.003633446368719012,	1,	
239.84708213806152,	0.91584956,	-0.003745299876180302,	1,	
240.00118207931519,	0.9124637999999999,	-0.003841658183649357,	1,	
240.15528225898743,	0.90961888,	-0.003953891145351565,	1,	
240.3093822002411,	0.90643568,	-0.004047364731980849,	1,	
240.46348214149475,	0.90325676,	-0.004164044538837813,	1,	
240.6175820827484,	0.90010492,	-0.004251588002262802,	1,	
240.77168226242065,	0.89678655,	-0.004353389113457409,	1,	
240.92578220367432,	0.89401361,	-0.00446997346462355,	1,	
241.07988214492798,	0.89049972,	-0.004567378983114351,	1,	
241.23398208618164,	0.88746024,	-0.004663486556035778,	1,	
241.38808226585388,	0.88431672,	-0.004776566469964175,	1,	
241.54218220710754,	0.8812652599999999,	-0.004872034561943572,	1,	
241.6962821483612,	0.8780309199999999,	-0.004961878642017185,	1,	
241.85038208961487,	0.87484513,	-0.005065825815628894,	1,	
242.0044822692871,	0.8717429999999999,	-0.005163513622485218,	1,	
242.15858221054077,	0.86888691,	-0.005260439293213182,	1,	
242.31268215179443,	0.86567659,	-0.005348543475563239,	1,	
242.4667820930481,	0.86224757,	-0.005432822172020221,	1,	
242.62088227272034,	0.85930177,	-0.0055055677337561,	1,	
242.774982213974,	0.85628463,	-0.005572860199262494,	1,	
242.92908215522766,	0.8531039499999999,	-0.005657058740166865,	1,	
243.08318209648132,	0.85008029,	-0.005714340908979404,	1,	
243.23728203773499,	0.8469071699999999,	-0.005766217674982331,	1,	
243.39138221740723,	0.84394697,	-0.005813790543943875,	1,	
243.5454821586609,	0.84073904,	-0.005867356113183925,	1,	
243.69958209991455,	0.8376523499999999,	-0.005894373256575394,	1,	
243.8536820411682,	0.8345157599999999,	-0.005936310894528785,	1,	
244.00778222084045,	0.8316991699999999,	-0.005952651787590094,	1,	
244.16188216209412,	0.8284239099999999,	-0.005973685900442172,	1,	
244.31598210334778,	0.82547081,	-0.005970392552763132,	1,	
244.47008204460144,	0.82223245,	-0.005965824788568441,	1,	
244.62418222427368,	0.81935916,	-0.005939352163759792,	1,	
244.77828216552734,	0.81654227,	-0.005912844981452108,	1,	
244.932382106781,	0.81336825,	-0.005878758992834715,	1,	
245.08648204803467,	0.81029569,	-0.00582855190344184,	1,	
245.2405822277069,	0.807195712,	-0.005760933378368922,	1,	
245.39468216896057,	0.804289688,	-0.005703072494381695,	1,	
245.54878211021423,	0.801284578,	-0.005618145842953476,	1,	
245.7028820514679,	0.798016612,	-0.005524126611799587,	1,	
245.85698223114014,	0.7950757039999999,	-0.005437855570478198,	1,	
246.0110821723938,	0.792284046,	-0.005342662918137051,	1,	
246.16518211364746,	0.789289672,	-0.005222678944704379,	1,	
246.31928205490112,	0.785807479,	-0.005105715044748355,	1,	
246.47338199615479,	0.783049021,	-0.004977606104450083,	1,	
246.62748217582703,	0.7801586429999999,	-0.004833973643881578,	1,	
246.7815821170807,	0.777045302,	-0.004687074448201045,	1,	
246.93568205833435,	0.774079506,	-0.004559316591086632,	1,	
247.089781999588,	0.770805452,	-0.004408108444219697,	1,	
247.24388217926025,	0.7681095419999999,	-0.004263196342857462,	1,	
247.39798212051392,	0.764795449,	-0.004116256577422039,	1,	
247.55208206176758,	0.7618661409999999,	-0.003965058023927687,	1,	
247.70618200302124,	0.758907966,	-0.00380739341015289,	1,	
247.86028218269348,	0.75608588,	-0.003669441709855531,	1,	
248.01438212394714,	0.752698578,	-0.003531568313471803,	1,	
248.1684820652008,	0.749908187,	-0.003377905873404939,	1,	
248.32258200645447,	0.74677131,	-0.00324501733535295,	1,	
248.4766821861267,	0.743880989,	-0.003107799540407463,	1,	
248.63078212738037,	0.740961393,	-0.002967212634802222,	1,	
248.78488206863403,	0.737673625,	-0.00284288406475549,	1,	
248.9389820098877,	0.7346617449999999,	-0.00271906702567597,	1,	
249.09308218955994,	0.731639005,	-0.002597700967493732,	1,	
249.2471821308136,	0.728597312,	-0.002481330687832663,	1,	
249.40128207206726,	0.7254687329999999,	-0.002373576589602772,	1,	
249.55538201332092,	0.7224296206999999,	-0.002266235719607879,	1,	
249.70948195457458,	0.7194934655999999,	-0.00216291467135166,	1,	
249.86358213424683,	0.7162381116,	-0.002065602015625572,	1,	
250.0176820755005,	0.7133348494999999,	-0.001912575379930274,	1,	
250.17178201675415,	0.7103572982999999,	-0.001847802220745105,	1,	
250.3258819580078,	0.7072377001,	-0.001775728624676974,	1,	
250.47998213768005,	0.70413001,	-0.001697807320117482,	1,	
250.63408207893372,	0.701018673,	-0.001618400103066901,	1,	
250.78818202018738,	0.697830441,	-0.001548742841460081,	1,	
250.94228196144104,	0.6947445329999999,	-0.001481595226829385,	1,	
251.09638214111328,	0.691677645,	-0.001409473973176237,	1,	
251.25048208236694,	0.6882351139999999,	-0.00134521028027583,	1,	
251.4045820236206,	0.685394913,	-0.001285103382209726,	1,	
251.55868196487427,	0.6821146499999999,	-0.001225101348069409,	1,	
