name = extended_platinum_ec
technique = EC
tstamp = 1580480022.0
backend_name = BackendBase(none, address=none)
id = 7
timecol 'time/s' for: '$U_{RHE}$ / [V]' and '<I>/mA' and 'selector'
aliases = {"t": ["time/s"], "raw_potential": ["$U_{RHE}$ / [V]"], "raw_current": ["<I>/mA"], "selector": ["selector"]}
N_header_lines = 10

time/s,	$U_{RHE}$ / [V],	<I>/mA,	selector
87.05678415298462,	0.40036562,	7.860489985569063e-05,	0,	
88.05678391456604,	0.40122407,	7.56030726306846e-05,	0,	
89.05678391456604,	0.40135761999999997,	7.116516737845006e-05,	0,	
90.05678391456604,	0.40099515999999996,	6.610114443006404e-05,	0,	
91.05678391456604,	0.40173915,	6.184887146745829e-05,	0,	
92.05678391456604,	0.40252130999999997,	5.926540119025395e-05,	0,	
93.05678391456604,	0.40164377999999995,	5.95612163282965e-05,	0,	
94.05678391456604,	0.40269299999999997,	6.223693486354012e-05,	0,	
95.05678391456604,	0.40189176,	6.645091324352848e-05,	0,	
96.05678391456604,	0.40137669,	7.085243142213356e-05,	0,	
97.05678391456604,	0.40084253999999997,	7.498434071868563e-05,	0,	
98.05678391456604,	0.40086162,	7.773805688528906e-05,	0,	
99.05678391456604,	0.40042283999999995,	7.773410766869784e-05,	0,	
100.05678391456604,	0.40038469,	7.495685478807555e-05,	0,	
101.05678391456604,	0.40131946999999996,	7.05758230670425e-05,	0,	
102.05678391456604,	0.40130039999999995,	6.557159996520452e-05,	0,	
103.05678391456604,	0.40221607,	6.106715516654616e-05,	0,	
104.05678391456604,	0.40259759999999994,	5.863215698810771e-05,	0,	
105.05678391456604,	0.40202530999999997,	5.842426016997135e-05,	0,	
106.05678391456604,	0.40261667999999995,	6.138129387588261e-05,	0,	
107.05678391456604,	0.40128128999999996,	6.621018766847443e-05,	0,	
108.05678367614746,	0.40192990999999995,	7.054439486896627e-05,	0,	
109.05678367614746,	0.40042283999999995,	7.498650121765416e-05,	0,	
110.05678367614746,	0.40078531999999994,	7.757570226586924e-05,	0,	
111.05678367614746,	0.40030839999999995,	7.798819532628726e-05,	0,	
112.05678367614746,	0.40112870999999994,	7.515979742492502e-05,	0,	
113.05678367614746,	0.40128128999999996,	7.041983812763983e-05,	0,	
114.05678367614746,	0.40162467999999996,	6.570392113858356e-05,	0,	
115.05678367614746,	0.40145297999999996,	6.112784481135804e-05,	0,	
116.05678367614746,	0.40280743999999996,	5.887021094355292e-05,	0,	
117.05678367614746,	0.40156746,	5.875035663830203e-05,	0,	
118.05678367614746,	0.40257853,	6.13804021929637e-05,	0,	
119.05678367614746,	0.40185361999999997,	6.571371955577088e-05,	0,	
120.05678367614746,	0.40091883999999994,	7.053472930264185e-05,	0,	
121.05678367614746,	0.40095700999999995,	7.484502010811974e-05,	0,	
122.05678367614746,	0.40051823,	7.780090664977017e-05,	0,	
123.05678367614746,	0.40103331,	7.846952089089428e-05,	0,	
124.05678367614746,	0.400709,	7.607409499705114e-05,	0,	
125.05678367614746,	0.40122407,	7.147892740897532e-05,	0,	
126.05678367614746,	0.40151023999999996,	6.650880542034658e-05,	0,	
127.05678343772888,	0.40282650999999997,	6.214723658194991e-05,	0,	
128.05678343772888,	0.40158652999999994,	5.945510520757578e-05,	0,	
129.05678343772888,	0.40292191,	5.880684924460975e-05,	0,	
130.05678343772888,	0.40231143999999996,	6.12176691332819e-05,	0,	
131.05678343772888,	0.40181546999999995,	6.539868909474626e-05,	0,	
132.05678343772888,	0.40151023999999996,	7.009971663312622e-05,	0,	
133.05678343772888,	0.40078531999999994,	7.458240494547116e-05,	0,	
134.05678343772888,	0.39891579,	7.767990601003021e-05,	0,	
135.05678343772888,	0.40105238,	7.877373527598471e-05,	0,	
136.05678343772888,	0.40095700999999995,	7.608070893541026e-05,	0,	
137.05678343772888,	0.400213,	7.168937544300893e-05,	0,	
138.05678343772888,	0.40147208999999995,	6.701035728403867e-05,	0,	
139.05678343772888,	0.40301728,	6.286228794728002e-05,	0,	
140.05678343772888,	0.40297912999999996,	5.984940030704137e-05,	0,	
141.05678343772888,	0.40360867999999994,	5.918282444114311e-05,	0,	
142.05678343772888,	0.40212067999999995,	6.160662416472746e-05,	0,	
143.05678343772888,	0.40225422,	6.594757859884333e-05,	0,	
144.05678343772888,	0.40118592999999997,	7.039362675570807e-05,	0,	
145.05678343772888,	0.40141484,	7.475506119350244e-05,	0,	
146.05678343772888,	0.40057546,	7.80243296093601e-05,	0,	
147.0567831993103,	0.39990779,	7.894893749397602e-05,	0,	
148.0567831993103,	0.400213,	7.643582133622421e-05,	0,	
149.05698323249817,	0.40133853999999997,	7.222629713639849e-05,	0,	
149.0735833644867,	0.40028931999999995,	0.0001186453082482331,	1,	
149.15848326683044,	0.39988333,	2.269242253208885e-05,	1,	
149.31248331069946,	0.39673035999999995,	1.893048081514475e-05,	1,	
149.46668338775635,	0.39360280999999997,	1.758068894669076e-05,	1,	
149.6206831932068,	0.39070421,	1.814021871004111e-05,	1,	
149.77488327026367,	0.38779603999999995,	1.641292442948711e-05,	1,	
149.9288833141327,	0.38472475999999994,	1.343352155762188e-05,	1,	
150.08308339118958,	0.38159819999999994,	1.414140429241038e-05,	1,	
150.23708319664001,	0.37863813999999996,	1.315690481518908e-05,	1,	
150.3912832736969,	0.37582326,	1.016184579781345e-05,	1,	
150.54528331756592,	0.37239261999999995,	1.03851001005752e-05,	1,	
