ixdat version = 0.2.7.dev1
name = 2022-07-19 10_02_32 HER_OER_calibration AND HER_OER_calibration_01_01_CVA.mpt AND HER_OER_calibration_01_02_CP.mpt AND HER_OER_calibration_01_03_CVA.mpt AND HER_OER_calibration_01_04_CP.mpt
technique = EC-MS
tstamp = 1658217752.0
backend_name = BackendBase(none, address=none)
id = 16
timecol 'time/s' for: 'Ewe/V' and '<I>/mA' and 'selector'
timecol 'C6M44 time [s]' for: 'M44'
timecol 'C3M28 time [s]' for: 'M28'
timecol 'C4M32 time [s]' for: 'M32'
timecol 'C1M4 time [s]' for: 'M4'
timecol 'C0M2 time [s]' for: 'M2'
timecol 'C5M40 time [s]' for: 'M40'
timecol 'C2M18 time [s]' for: 'M18'
aliases = {"M2": ["M2 [A]"], "M4": ["M4 [A]"], "M18": ["M18 [A]"], "M28": ["M28 [A]"], "M32": ["M32 [A]"], "M40": ["M40 [A]"], "M44": ["M44 [A]"], "t": ["time/s"], "raw_potential": ["Ewe/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

time/s,	Ewe/V,	<I>/mA,	selector,	C6M44 time [s],	M44,	C3M28 time [s],	M28,	C4M32 time [s],	M32,	C1M4 time [s],	M4,	C0M2 time [s],	M2,	C5M40 time [s],	M40,	C2M18 time [s],	M18
5000.233595132828,	1.5436457,	0.0008206363845295675,	0,	5000.677999973297,	4.30076e-13,	5000.454999923706,	9.517951e-13,	5000.529000043869,	7.113168e-12,	5000.305999994278,	4.829916e-10,	5000.230999946594,	8.337558e-12,	5000.604000091553,	4.681783e-14,	5000.380000114441,	3.235823e-11
5000.566695213318,	1.5370791,	0.0006886633198905853,	0,	5002.132999897003,	4.119605e-13,	5001.908999919891,	9.37049e-13,	5001.983999967575,	6.635589e-12,	5001.759999990463,	4.840874e-10,	5001.686000108719,	8.351761e-12,	5002.058000087738,	2.478186e-14,	5001.835000038147,	3.239504e-11
5000.899895191193,	1.5303483,	0.0005773321714575286,	0,	5003.588000059128,	4.046016e-13,	5003.364000082016,	9.501994e-13,	5003.438999891281,	6.153912e-12,	5003.214999914169,	4.852496e-10,	5003.141000032425,	8.364038e-12,	5003.513000011444,	5.66593e-14,	5003.289999961853,	3.278119e-11
5001.232995033264,	1.5236663,	0.0004870976939494584,	0,	5005.042999982834,	4.077687e-13,	5004.819999933243,	9.437113e-13,	5004.894000053406,	5.73648e-12,	5004.671000003815,	4.851077e-10,	5004.595999956131,	8.377086e-12,	5004.9690001010895,	2.648691e-14,	5004.744999885559,	3.233181e-11
5001.566195011139,	1.5170534,	0.0004119452831156845,	0,	5006.49799990654,	4.160023e-13,	5006.275000095367,	9.37365e-13,	5006.348999977112,	5.388881e-12,	5006.125999927521,	4.864597e-10,	5006.051000118256,	8.411613e-12,	5006.4240000247955,	3.229054e-14,	5006.200000047684,	3.246602e-11
5001.899395227432,	1.5102885,	0.0003420000680272599,	0,	5007.953000068665,	3.873973e-13,	5007.7300000190735,	9.483526e-13,	5007.803999900818,	5.10401e-12,	5007.581000089645,	4.874602e-10,	5007.506000041962,	8.419425e-12,	5007.878999948502,	2.529621e-14,	5007.65499997139,	3.251585e-11
5002.232495069504,	1.5037252,	0.0002854153336167842,	0,	5009.408999919891,	3.924112e-13,	5009.1849999427795,	9.449262e-13,	5009.259999990463,	4.837789e-12,	5009.036000013351,	4.884e-10,	5008.9619998931885,	8.424471e-12,	5009.334000110626,	1.540615e-14,	5009.111000061035,	3.236807e-11
5002.5656950473785,	1.4969914,	0.0002381513013936742,	0,	5010.864000082016,	3.88835e-13,	5010.640000104904,	9.259603e-13,	5010.714999914169,	4.612386e-12,	5010.4909999370575,	4.887184e-10,	5010.417000055313,	8.423195e-12,	5010.789000034332,	3.438033e-14,	5010.565999984741,	3.240783e-11
5002.898795127869,	1.4902921,	0.0001955540296488256,	0,	5012.319000005722,	3.672445e-13,	5012.095999956131,	9.522244e-13,	5012.170000076294,	4.35959e-12,	5011.947000026703,	4.899265e-10,	5011.871999979019,	8.468899e-12,	5012.244999885559,	4.101015e-14,	5012.020999908447,	3.243405e-11
5003.231995105743,	1.4836509,	0.0001603978454544445,	0,	5013.773000001907,	3.70521e-13,	5013.549999952316,	9.239109e-13,	5013.624000072479,	4.219076e-12,	5013.401999950409,	4.891434e-10,	5013.326999902725,	8.485654e-12,	5013.698999881744,	1.843149e-14,	5013.476000070572,	3.241851e-11
